"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2020;1;1;01/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"15.20";"21.30";"21.40";"98.00";"52.00";"75.00";"11.00";"5.00";"14.00";"11.00";
2020;1;1;01/01/20;"Sarco";-66,175556;-17,384167;2587;"12.20";"22.50";"12.50";;;;"0.00";"0.00";"0.00";"0.00";"4.50"
2020;1;2;02/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"14.00";"20.70";"11.90";"92.00";"53.00";"67.00";"7.00";"0.00";"11.00";"0.00";"4.08"
2020;1;2;02/01/20;"Sarco";-66,175556;-17,384167;2587;"13.20";"22.20";"10.50";"75.00";"55.00";"64.00";"0.00";"0.00";"0.00";"0.00";"4.71"
2020;1;3;03/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.60";"25.70";"13.70";"85.00";"34.00";"54.00";"7.00";"0.00";"12.00";"0.00";"5.24"
2020;1;3;03/01/20;"Sarco";-66,175556;-17,384167;2587;"1.40";"27.50";"13.50";"80.00";"34.00";"51.00";"3.70";"0.00";"7.00";"0.00";"5.78"
2020;1;4;04/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"21.30";"25.30";"12.10";"96.00";"41.00";"60.00";"11.00";"7.00";"13.00";"6.00";"5.34"
2020;1;4;04/01/20;"Sarco";-66,175556;-17,384167;2587;"19.50";"27.80";"11.80";;;;"0.00";"0.00";"0.00";"0.00";"6.06"
2020;1;5;05/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"22.90";"26.60";"12.60";"92.00";"43.00";"59.00";"11.00";"0.00";"10.00";"0.00";"5.64"
2020;1;5;05/01/20;"Sarco";-66,175556;-17,384167;2587;"24.60";"30.00";"11.70";;;;"0.00";"0.00";"0.00";"0.00";"6.66"
2020;1;6;06/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.40";"12.80";"75.00";"27.00";"39.00";"15.00";"0.00";"4.00";"0.00";"5.83"
2020;1;6;06/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.00";"12.20";"46.00";"31.00";"38.00";"0.00";"0.00";"0.00";"0.00";"6.61"
2020;1;7;07/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"24.90";"14.60";"64.00";"43.00";"54.00";"5.00";"0.00";"9.00";"0.00";"4.85"
2020;1;7;07/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.50";"14.40";"66.00";"39.00";"49.00";"9.30";"3.70";"16.00";"16.00";"5.65"
2020;1;8;08/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"30.00";"13.40";"68.00";"22.00";"42.00";"9.00";"0.00";"11.00";"0.00";"6.48"
2020;1;8;08/01/20;"Sarco";-66,175556;-17,384167;2587;"0.40";"34.00";"13.50";"64.00";"13.00";"35.00";"3.70";"0.00";"16.00";"0.00";"7.57"
2020;1;9;09/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"31.30";"13.30";"56.00";"25.00";"35.00";"15.00";"0.00";"11.00";"0.00";"6.85"
2020;1;9;09/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"34.00";"14.00";"52.00";"17.00";"33.00";"9.30";"0.00";"16.00";"0.00";"7.52"
2020;1;10;10/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.70";"14.60";"64.00";"37.00";"48.00";"18.00";"5.00";"13.00";"5.00";"5.96"
2020;1;10;10/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"16.00";"53.00";"32.00";"42.00";"15.80";"0.00";"8.00";"0.00";"6.43"
2020;1;11;11/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.50";"24.20";"13.90";"82.00";"47.00";"62.00";"13.00";"7.00";"11.00";"6.00";"4.76"
2020;1;11;11/01/20;"Sarco";-66,175556;-17,384167;2587;"4.00";"26.00";"14.50";;;;"0.00";"0.00";"0.00";"0.00";"5.19"
2020;1;12;12/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.20";"27.40";"12.60";"79.00";"36.00";"57.00";"13.00";"5.00";"13.00";"9.00";"5.85"
2020;1;12;12/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"13.00";;;;"0.00";"0.00";"0.00";"0.00";"6.24"
2020;1;13;13/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"8.80";"25.70";"13.60";"63.00";"40.00";"48.00";"9.00";"0.00";"11.00";"0.00";"5.23"
2020;1;13;13/01/20;"Sarco";-66,175556;-17,384167;2587;"10.50";"27.00";"12.20";"67.00";"38.00";"48.00";"3.70";"0.00";"14.00";"0.00";"5.78"
2020;1;14;14/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.60";"12.30";"64.00";"32.00";"44.00";"11.00";"5.00";"11.00";"1.00";"6.20"
2020;1;14;14/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.50";"11.80";"54.00";"33.00";"41.00";"3.70";"0.00";"15.00";"0.00";"7.03"
2020;1;15;15/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.10";"28.90";"15.20";"69.00";"34.00";"46.00";"15.00";"0.00";"13.00";"0.00";"5.92"
2020;1;15;15/01/20;"Sarco";-66,175556;-17,384167;2587;"1.10";"32.00";"14.40";"67.00";"28.00";"42.00";"15.80";"0.00";"14.00";"0.00";"6.90"
2020;1;16;16/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.40";"14.70";"61.00";"39.00";"51.00";"18.00";"5.00";"15.00";"7.00";"5.55"
2020;1;16;16/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"15.50";"64.00";"49.00";"56.00";"40.80";"3.70";"16.00";"16.00";"6.48"
2020;1;17;17/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"7.30";"26.20";"12.00";"89.00";"30.00";"54.00";"11.00";"0.00";"10.00";"0.00";"5.57"
