;"(mm) Precipitation (CFSR) at -66.1449E,-17.3928N, 2000-01-01 to 2022-12-31"
"2000-01-01:12 AM";3,5856
"2000-01-02:12 AM";1,4688
"2000-01-03:12 AM";5,076
"2000-01-04:12 AM";4,1904
"2000-01-05:12 AM";5,8752
"2000-01-06:12 AM";17,3664
"2000-01-07:12 AM";0,9936
"2000-01-08:12 AM";2,5272
"2000-01-09:12 AM";21,4056
"2000-01-10:12 AM";20,0448
"2000-01-11:12 AM";6,7392
"2000-01-12:12 AM";11,3184
"2000-01-13:12 AM";11,4264
"2000-01-14:12 AM";4,1688
"2000-01-15:12 AM";4,1472
"2000-01-16:12 AM";3,024
"2000-01-17:12 AM";4,1688
"2000-01-18:12 AM";11,1888
"2000-01-19:12 AM";13,7592
"2000-01-20:12 AM";28,0584
"2000-01-21:12 AM";0,1296
"2000-01-22:12 AM";7,992
"2000-01-23:12 AM";6,8472
"2000-01-24:12 AM";4,0392
"2000-01-25:12 AM";3,9744
"2000-01-26:12 AM";8,1864
"2000-01-27:12 AM";6,4368
"2000-01-28:12 AM";6,9768
"2000-01-29:12 AM";3,7368
"2000-01-30:12 AM";2,484
"2000-01-31:12 AM";5,6808
"2000-02-01:12 AM";5,4432
"2000-02-02:12 AM";0,3456
"2000-02-03:12 AM";4,7088
"2000-02-04:12 AM";36,072
"2000-02-05:12 AM";0,7128
"2000-02-06:12 AM";17,5176
"2000-02-07:12 AM";39,9168
"2000-02-08:12 AM";2,4408
"2000-02-09:12 AM";27,2592
"2000-02-10:12 AM";8,0568
"2000-02-11:12 AM";5,94
"2000-02-12:12 AM";3,8232
"2000-02-13:12 AM";14,6448
"2000-02-14:12 AM";52,272
"2000-02-15:12 AM";3,7584
"2000-02-16:12 AM";1,5984
"2000-02-17:12 AM";9,5472
"2000-02-18:12 AM";4,0824
"2000-02-19:12 AM";7,02
"2000-02-20:12 AM";6,1992
"2000-02-21:12 AM";0,972
"2000-02-22:12 AM";7,6464
"2000-02-23:12 AM";22,0968
"2000-02-24:12 AM";4,428
"2000-02-25:12 AM";2,6568
"2000-02-26:12 AM";2,2248
"2000-02-27:12 AM";0,2808
"2000-02-28:12 AM";2,3976
"2000-02-29:12 AM";13,1112
"2000-03-01:12 AM";1,2528
"2000-03-02:12 AM";4,0608
"2000-03-03:12 AM";3,7152
"2000-03-04:12 AM";4,4496
"2000-03-05:12 AM";6,9984
"2000-03-06:12 AM";10,4544
"2000-03-07:12 AM";40,4352
"2000-03-08:12 AM";30,9312
"2000-03-09:12 AM";5,4216
"2000-03-10:12 AM";3,5424
"2000-03-11:12 AM";11,5128
"2000-03-12:12 AM";17,6688
"2000-03-13:12 AM";3,0456
"2000-03-14:12 AM";3,672
"2000-03-15:12 AM";2,3976
"2000-03-16:12 AM";1,62
"2000-03-17:12 AM";4,4064
"2000-03-18:12 AM";14,0616
"2000-03-19:12 AM";5,076
"2000-03-20:12 AM";1,188
"2000-03-21:12 AM";2,808
"2000-03-22:12 AM";10,5408
"2000-03-23:12 AM";0,7992
"2000-03-24:12 AM";3,24
"2000-03-25:12 AM";5,9184
"2000-03-26:12 AM";0,0648
"2000-03-27:12 AM";0,5616
"2000-03-28:12 AM";15,3576
"2000-03-29:12 AM";0,2808
"2000-03-30:12 AM";0,432
"2000-03-31:12 AM";0,1728
"2000-04-01:12 AM";2,2464
"2000-04-02:12 AM";1,2744
"2000-04-03:12 AM";0,972
"2000-04-04:12 AM";0,0648
"2000-04-05:12 AM";2,6784
"2000-04-06:12 AM";2,376
"2000-04-07:12 AM";0,756
"2000-04-08:12 AM";1,3824
"2000-04-09:12 AM";2,7864
"2000-04-10:12 AM";0,1944
"2000-04-11:12 AM";0
"2000-04-12:12 AM";1,0368
"2000-04-13:12 AM";0,8856
"2000-04-14:12 AM";0,7128
"2000-04-15:12 AM";2,8296
"2000-04-16:12 AM";3,3264
"2000-04-17:12 AM";0,864
"2000-04-18:12 AM";0,6264
"2000-04-19:12 AM";1,188
"2000-04-20:12 AM";1,188
"2000-04-21:12 AM";0,3672
"2000-04-22:12 AM";0,3456
"2000-04-23:12 AM";0,4104
"2000-04-24:12 AM";0
"2000-04-25:12 AM";0,108
"2000-04-26:12 AM";0,54
"2000-04-27:12 AM";1,188
"2000-04-28:12 AM";2,16
"2000-04-29:12 AM";3,7368
"2000-04-30:12 AM";0,6912
"2000-05-01:12 AM";0,2592
"2000-05-02:12 AM";0
"2000-05-03:12 AM";0,0432
"2000-05-04:12 AM";0,3672
"2000-05-05:12 AM";0,324
"2000-05-06:12 AM";0,0216
"2000-05-07:12 AM";0
"2000-05-08:12 AM";0
"2000-05-09:12 AM";0
"2000-05-10:12 AM";0
"2000-05-11:12 AM";0
"2000-05-12:12 AM";0,0216
"2000-05-13:12 AM";0,108
"2000-05-14:12 AM";0,1296
"2000-05-15:12 AM";0,2808
"2000-05-16:12 AM";0,0216
"2000-05-17:12 AM";0,108
"2000-05-18:12 AM";0,4104
"2000-05-19:12 AM";0
"2000-05-20:12 AM";0
"2000-05-21:12 AM";0
"2000-05-22:12 AM";0,0432
"2000-05-23:12 AM";0
"2000-05-24:12 AM";0,0432
"2000-05-25:12 AM";0,0216
"2000-05-26:12 AM";0,216
"2000-05-27:12 AM";0,216
"2000-05-28:12 AM";0
"2000-05-29:12 AM";0
"2000-05-30:12 AM";0,108
"2000-05-31:12 AM";0,0432
"2000-06-01:12 AM";0
"2000-06-02:12 AM";0
"2000-06-03:12 AM";0
"2000-06-04:12 AM";0,1296
"2000-06-05:12 AM";0,2808
"2000-06-06:12 AM";0,2376
"2000-06-07:12 AM";0,0864
"2000-06-08:12 AM";1,1664
"2000-06-09:12 AM";0,3888
"2000-06-10:12 AM";0,1296
"2000-06-11:12 AM";0,216
"2000-06-12:12 AM";0
"2000-06-13:12 AM";0
"2000-06-14:12 AM";0
"2000-06-15:12 AM";0
"2000-06-16:12 AM";0,0216
"2000-06-17:12 AM";0,108
"2000-06-18:12 AM";0,0216
"2000-06-19:12 AM";0
"2000-06-20:12 AM";0
"2000-06-21:12 AM";0
"2000-06-22:12 AM";0
"2000-06-23:12 AM";0
"2000-06-24:12 AM";0
"2000-06-25:12 AM";0,0216
"2000-06-26:12 AM";0,1512
"2000-06-27:12 AM";0,0864
"2000-06-28:12 AM";0,0216
"2000-06-29:12 AM";0
"2000-06-30:12 AM";0
"2000-07-01:12 AM";0
"2000-07-02:12 AM";0
"2000-07-03:12 AM";0,3024
"2000-07-04:12 AM";0
"2000-07-05:12 AM";0
"2000-07-06:12 AM";0,0216
"2000-07-07:12 AM";0
"2000-07-08:12 AM";0,0216
"2000-07-09:12 AM";0,4968
"2000-07-10:12 AM";0,0432
"2000-07-11:12 AM";0
"2000-07-12:12 AM";0
"2000-07-13:12 AM";0
"2000-07-14:12 AM";0
"2000-07-15:12 AM";0
"2000-07-16:12 AM";0
"2000-07-17:12 AM";0,0432
"2000-07-18:12 AM";0,1728
"2000-07-19:12 AM";1,6416
"2000-07-20:12 AM";0,324
"2000-07-21:12 AM";0,0216
"2000-07-22:12 AM";0,7128
"2000-07-23:12 AM";0,2592
"2000-07-24:12 AM";0
"2000-07-25:12 AM";0
"2000-07-26:12 AM";0
"2000-07-27:12 AM";0
"2000-07-28:12 AM";0
"2000-07-29:12 AM";0,1512
"2000-07-30:12 AM";0,3888
"2000-07-31:12 AM";0,6264
"2000-08-01:12 AM";0,0216
"2000-08-02:12 AM";0,648
"2000-08-03:12 AM";2,9808
"2000-08-04:12 AM";0,7128
"2000-08-05:12 AM";0,0648
"2000-08-06:12 AM";0,6048
"2000-08-07:12 AM";0,216
"2000-08-08:12 AM";0,5832
"2000-08-09:12 AM";0,7776
"2000-08-10:12 AM";2,9808
"2000-08-11:12 AM";0,0648
"2000-08-12:12 AM";0,0432
"2000-08-13:12 AM";0
"2000-08-14:12 AM";0,0216
"2000-08-15:12 AM";2,1816
"2000-08-16:12 AM";0,0432
"2000-08-17:12 AM";0,1512
"2000-08-18:12 AM";0,0648
"2000-08-19:12 AM";0
"2000-08-20:12 AM";0
"2000-08-21:12 AM";0
"2000-08-22:12 AM";0
"2000-08-23:12 AM";0
"2000-08-24:12 AM";0
"2000-08-25:12 AM";0
"2000-08-26:12 AM";0,0216
"2000-08-27:12 AM";0,0216
"2000-08-28:12 AM";0
"2000-08-29:12 AM";0
"2000-08-30:12 AM";0,324
"2000-08-31:12 AM";1,512
"2000-09-01:12 AM";0,0864
"2000-09-02:12 AM";0,5616
"2000-09-03:12 AM";1,08
"2000-09-04:12 AM";0,0864
"2000-09-05:12 AM";0,0216
"2000-09-06:12 AM";0,108
"2000-09-07:12 AM";0,2376
"2000-09-08:12 AM";0,4968
"2000-09-09:12 AM";0,6696
"2000-09-10:12 AM";2,052
"2000-09-11:12 AM";0,216
"2000-09-12:12 AM";0,0648
"2000-09-13:12 AM";0
"2000-09-14:12 AM";0,0432
"2000-09-15:12 AM";0,0864
"2000-09-16:12 AM";0,108
"2000-09-17:12 AM";0
"2000-09-18:12 AM";0
"2000-09-19:12 AM";0,0432
"2000-09-20:12 AM";0
"2000-09-21:12 AM";0,8856
"2000-09-22:12 AM";2,268
"2000-09-23:12 AM";0,0216
"2000-09-24:12 AM";0,7992
"2000-09-25:12 AM";0,648
"2000-09-26:12 AM";0,864
"2000-09-27:12 AM";0,1512
"2000-09-28:12 AM";0,6696
"2000-09-29:12 AM";0
"2000-09-30:12 AM";0,0216
"2000-10-01:12 AM";0,0216
"2000-10-02:12 AM";0
"2000-10-03:12 AM";0
"2000-10-04:12 AM";0,8424
"2000-10-05:12 AM";0,972
"2000-10-06:12 AM";0,4536
"2000-10-07:12 AM";0,6696
"2000-10-08:12 AM";2,16
"2000-10-09:12 AM";0,7992
"2000-10-10:12 AM";1,2312
"2000-10-11:12 AM";0,54
"2000-10-12:12 AM";1,5984
"2000-10-13:12 AM";0,2592
"2000-10-14:12 AM";0,4968
"2000-10-15:12 AM";1,1016
"2000-10-16:12 AM";0,972
"2000-10-17:12 AM";1,2096
"2000-10-18:12 AM";1,2312
"2000-10-19:12 AM";0,216
"2000-10-20:12 AM";1,1664
"2000-10-21:12 AM";0,432
"2000-10-22:12 AM";0,3456
"2000-10-23:12 AM";6,8904
"2000-10-24:12 AM";1,1448
"2000-10-25:12 AM";1,4688
"2000-10-26:12 AM";1,4688
"2000-10-27:12 AM";3,0456
"2000-10-28:12 AM";2,808
"2000-10-29:12 AM";6,804
"2000-10-30:12 AM";0,6696
"2000-10-31:12 AM";0,9936
"2000-11-01:12 AM";2,16
"2000-11-02:12 AM";0,9072
"2000-11-03:12 AM";2,3328
"2000-11-04:12 AM";2,3328
"2000-11-05:12 AM";3,456
"2000-11-06:12 AM";1,512
"2000-11-07:12 AM";2,16
"2000-11-08:12 AM";0,9288
"2000-11-09:12 AM";1,728
"2000-11-10:12 AM";1,5336
"2000-11-11:12 AM";1,9008
"2000-11-12:12 AM";0,7776
"2000-11-13:12 AM";0,7776
"2000-11-14:12 AM";1,2096
"2000-11-15:12 AM";0,756
"2000-11-16:12 AM";0,4752
"2000-11-17:12 AM";1,6416
"2000-11-18:12 AM";0,324
"2000-11-19:12 AM";0,1728
"2000-11-20:12 AM";1,5768
"2000-11-21:12 AM";4,0392
"2000-11-22:12 AM";4,6224
"2000-11-23:12 AM";2,8728
"2000-11-24:12 AM";4,4712
"2000-11-25:12 AM";12,3768
"2000-11-26:12 AM";1,7712
"2000-11-27:12 AM";2,916
"2000-11-28:12 AM";3,7584
"2000-11-29:12 AM";3,24
"2000-11-30:12 AM";3,672
"2000-12-01:12 AM";2,0952
"2000-12-02:12 AM";1,2528
